X (m),Y (m),RSRP UL,RSRQ UL,SNR UL,RSRP DL,RSRQ DL,SNR DL
0.0,0.0,-101,-3,16,-101,-3,23
1.0,0.0,-98,"-3,5","14,5",-98,-3,21
2.0,0.0,-99,-3,14,-99,-3,22
3.0,0.0,-93,-3,"16,5",-93,-3,21
4.0,0.0,-95,-3,"13,5",-95,-3,21
5.0,0.0,-95,-3,16,-94,-3,17
6.0,0.0,-92,-3,"16,5",-94,-3,23
7.0,0.0,-88,-3,15,-92,-3,23
8.0,0.0,-88,-3,17,-90,-3,23
9.0,0.0,-92,-3,"16,5",-94,-3,19
0.0,1.16,-95,-3,17,-95,-3,20
1.0,1.16,-90,-3,12,-92,-3,23
2.0,1.16,-87,-3,"15,5",-89,-3,23
3.0,1.16,-88,-3,"13,5",-89,-3,22
4.0,1.16,-85,-3,14,-86,-3,23
5.0,1.16,-80,-3,"15,5",-81,-3,22
6.0,1.16,-85,-3,"13,5",-86,-3,20
7.0,1.16,-86,-3,"14,5",-87,-3,22
8.0,1.16,-84,-3,"13,5",-85,-3,22
9.0,1.16,-90,-3,17,-91,-3,22
0.0,2.32,-94,"-3,5","14,5",-94,-3,22
1.0,2.32,-90,-3,16,-90,-3,21
2.0,2.32,-83,-3,"15,5",-84,-3,22
3.0,2.32,-87,-3,"16,5",-88,-3,23
4.0,2.32,-88,-3,15,-88,-3,22
5.0,2.32,-83,-3,15,-83,-3,22
6.0,2.32,-85,-3,"14,5",-86,-3,20
7.0,2.32,-76,-3,"16,5",-77,-3,23
8.0,2.32,-82,-3,16,-84,-3,22
9.0,2.32,-91,-3,"15,5",-92,-3,20
0.0,3.48,-95,-3,"13,5",-92,-3,23
1.0,3.48,-95,-3,"13,5",-88,-3,23
2.0,3.48,-95,-3,"13,5",-91,-3,23
3.0,3.48,-91,-3,16,-93,-3,22
4.0,3.48,-96,-3,"14,5",-98,-3,19
5.0,3.48,-89,-3,15,-90,-3,23
6.0,3.48,-84,-3,"16,5",-84,-3,22
7.0,3.48,-86,-3,16,-89,-3,19
8.0,3.48,-87,-3,17,-88,-3,23
9.0,3.48,-82,-3,"16,5",-84,-3,23
0.0,4.64,-88,-3,"15,5",-90,-3,20
1.0,4.64,-90,-3,15,-91,-3,20
2.0,4.64,-94,-3,"15,5",-94,-3,18
3.0,4.64,-93,-3,17,-93,-3,19
4.0,4.64,-89,-3,"15,5",-90,-3,21
5.0,4.64,-86,-3,"16,5",-87,-3,23
6.0,4.64,-84,-3,"15,5",-86,-3,18
7.0,4.64,-89,-3,17,-89,-3,19
8.0,4.64,-91,-3,"16,5",-93,-3,23
9.0,4.64,-91,-3,"14,5",-91,-3,23
0.0,5.8,-93,-3,"14,5",-94,-3,20
1.0,5.8,-85,-3,"16,5",-86,-3,21
2.0,5.8,-93,-3,"13,5",-91,-3,21
3.0,5.8,-95,-3,17,-96,-3,21
4.0,5.8,-89,-3,13,-89,-3,23
5.0,5.8,-92,-3,"12,5",-91,-3,20
6.0,5.8,-90,-3,"14,4",-90,-3,18
7.0,5.8,-92,-3,"15,5",-92,-3,23
8.0,5.8,-92,-3,"16,5",-92,-3,23
9.0,5.8,-88,-3,"12,5",-89,-3,22
